neighbourhood_group,latitude,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
2.0,40.72003,-73.98901,0.0,30.0,9.0,227.0
2.0,40.73943,-73.98135,0.0,3.0,1.0,0.0
1.0,40.69968,-73.93588,1.0,1.0,1.0,1.0
3.0,40.71686,-73.79742,1.0,2.0,2.0,318.0
2.0,40.73168,-73.98662,0.0,30.0,1.0,314.0
1.0,40.7256,-73.95698,0.0,1.0,4.0,63.0
1.0,40.6283,-74.01608,1.0,1.0,5.0,150.0
1.0,40.67148,-73.97479,0.0,7.0,1.0,241.0
3.0,40.76553,-73.91625,0.0,4.0,1.0,12.0
2.0,40.80878,-73.95777,0.0,10.0,1.0,0.0
1.0,40.71351,-73.96066,1.0,2.0,1.0,95.0
2.0,40.75109,-73.97086,0.0,1.0,2.0,244.0
1.0,40.67716,-73.91418,0.0,1.0,1.0,248.0
2.0,40.77038,-73.95273,1.0,5.0,2.0,342.0
3.0,40.77051,-73.87344,1.0,1.0,5.0,162.0
2.0,40.8197,-73.95326,1.0,2.0,3.0,72.0
1.0,40.69994,-73.92378,0.0,5.0,2.0,72.0
2.0,40.74779,-73.981,0.0,3.0,1.0,276.0
1.0,40.66146,-73.98371,0.0,2.0,1.0,34.0
1.0,40.73768,-73.95741,1.0,7.0,1.0,0.0
2.0,40.78627,-73.94316,1.0,30.0,9.0,339.0
1.0,40.64237,-73.98048,1.0,1.0,11.0,22.0
4.0,40.62439,-74.16634,0.0,1.0,1.0,263.0
1.0,40.68991,-73.93695,1.0,2.0,1.0,0.0
2.0,40.81733,-73.95384,1.0,2.0,3.0,0.0
2.0,40.79939,-73.95218,1.0,3.0,1.0,6.0
1.0,40.65151,-73.94957,2.0,30.0,7.0,365.0
1.0,40.68273,-73.9193,0.0,2.0,1.0,101.0
2.0,40.77127,-73.95108,0.0,3.0,1.0,263.0
2.0,40.7044,-74.00851,0.0,1.0,1.0,0.0
1.0,40.69502,-73.93107,1.0,3.0,2.0,0.0
2.0,40.73727,-74.00213,0.0,5.0,1.0,365.0
2.0,40.85228,-73.93498,1.0,1.0,3.0,271.0
2.0,40.78981,-73.942,0.0,5.0,1.0,205.0
2.0,40.72822,-74.00429,1.0,3.0,3.0,276.0
1.0,40.68692,-73.94242,1.0,3.0,1.0,0.0
2.0,40.72149,-73.98573,0.0,4.0,1.0,0.0
1.0,40.70807,-73.95681,0.0,4.0,1.0,1.0
1.0,40.68389,-73.96201,1.0,30.0,3.0,347.0
3.0,40.66556,-73.75735,1.0,1.0,4.0,179.0
2.0,40.74751,-73.98051,0.0,30.0,8.0,355.0
1.0,40.70044,-73.92503,1.0,2.0,1.0,15.0
